,Unnamed: 0,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
143,143,apple,41900.0,7999.0,2.0,4.6,2847.0,Rectangle,Blue,Aluminium,Yes,22.0,Yes,1.6,20.0
144,144,apple,40900.0,7999.0,2.0,4.5,1720.0,Rectangle,Black,Silicon,Yes,22.0,Yes,1.6,27.5
145,145,apple,41900.0,7999.0,2.0,4.6,2847.0,Rectangle,White,Aluminium,Yes,22.0,Yes,1.6,20.0
146,146,apple,32900.0,7999.0,2.0,4.6,5502.0,Rectangle,Gold,Silicon,Yes,22.0,Yes,1.7,27.5
147,147,apple,73900.0,7999.0,2.0,4.5,1519.0,Rectangle,Gold,Stainless Steel,Yes,22.0,Yes,1.6,20.0
148,148,noise,1999.0,5999.0,66.67777963,4.2,80483.0,Rectangle,Black,Silicon,Yes,22.0,Yes,1.8,42.5
149,149,noise,1299.0,3999.0,67.51687922,4.2,27445.0,Square,Black,Silicon,Yes,22.0,Yes,1.7,42.5
150,150,noise,1799.0,4999.0,64.01280256,4.2,219512.0,Rectangle,Black,Silicon,Yes,22.0,Yes,1.7,42.5
151,151,noise,1499.0,4999.0,70.0140028,3.4,504.0,Rectangle,Green,Silicon,Yes,8.0,Yes,1.8,42.5
152,152,noise,1599.0,4999.0,68.01360272,4.3,4398.0,Rectangle,Green,Silicon,Yes,22.0,Yes,1.7,42.5
153,153,noise,1499.0,3999.0,62.51562891,4.2,275607.0,Square,White,Silicon,Yes,8.0,Yes,1.7,42.5
154,154,noise,3999.0,6999.0,42.86326618,4.4,12469.0,Circle,Black,Silicon,Yes,22.0,Yes,1.4,42.5
155,155,noise,2999.0,7999.0,62.50781348,4.3,11755.0,Square,Black,Silicon,Yes,22.0,Yes,1.8,42.5
156,156,noise,2999.0,5999.0,50.00833472,4.3,13108.0,Rectangle,Black,Silicon,Yes,22.0,Yes,1.7,42.5
157,157,noise,2499.0,6999.0,64.29489927,4.3,3944.0,Square,Grey,Silicon,Yes,22.0,Yes,1.9,42.5
158,158,noise,1299.0,4999.0,74.01480296,4.1,142612.0,Square,Black,Thermo Plastic Polyurethene,Yes,22.0,Yes,1.4,42.5
159,159,noise,2999.0,8999.0,66.6740749,4.1,22942.0,Circle,Black,Silicon,Yes,22.0,Yes,1.3,42.5
160,160,noise,3799.0,5999.0,36.6727788,4.2,6004.0,Rectangle,Black,Silicon,Yes,22.0,Yes,1.8,42.5
161,161,noise,1499.0,4999.0,70.0140028,4.1,148555.0,Rectangle,Black,Synthetic,Yes,22.0,Yes,1.3,20.0
162,162,noise,1799.0,5999.0,70.01166861,4.2,32505.0,Rectangle,Black,Thermo Plastic Polyurethene,Yes,22.0,Yes,1.5,42.5
163,163,noise,1999.0,5999.0,66.67777963,4.1,69379.0,Rectangle,Black,Thermo Plastic Polyurethene,Yes,3.5,Yes,1.6,27.5
164,164,noise,1499.0,3999.0,62.51562891,4.0,6638.0,Circle,Black,Silicon,Yes,22.0,Yes,1.3,42.5
165,165,noise,1799.0,5999.0,70.01166861,4.1,3506.0,Square,Black,Silicon,Yes,22.0,Yes,1.8,42.5
166,166,noise,1799.0,3999.0,55.01375344,4.2,5970.0,Rectangle,Grey,Silicon,Yes,22.0,Yes,1.7,42.5
167,167,boat,1799.0,7990.0,77.48435544,4.1,125524.0,Rectangle,Blue,Silicon,Yes,22.0,Yes,1.7,42.5
168,168,boat,1699.0,5990.0,71.6360601,4.0,98388.0,Rectangle,Black,Silicon,Yes,22.0,Yes,1.7,42.5
169,169,boat,2499.0,8990.0,72.20244716,4.2,2893.0,Rectangle,Black,Silicon,Yes,22.0,Yes,1.9,42.5
170,170,boat,3299.0,9799.0,66.33329932,4.1,13261.0,Rectangle,Red,Silicon,Yes,22.0,Yes,1.8,42.5
171,171,boat,1499.0,5990.0,74.97495826,4.1,45492.0,Rectangle,Red,Silicon,Yes,22.0,Yes,1.6,42.5
172,172,boat,2499.0,5990.0,58.28046745,4.2,39734.0,Rectangle,Grey,Silicon,Yes,22.0,Yes,1.7,42.5
173,173,boat,1299.0,6990.0,81.41630901,3.9,17456.0,Rectangle,Purple,Silicon,Yes,22.0,Yes,1.7,42.5
174,174,boat,1299.0,5990.0,78.31385643,4.1,619130.0,Square,Blue,Thermo Plastic Polyurethene,Yes,22.0,Yes,1.3,42.5
175,175,boat,1999.0,8999.0,77.78642071,3.9,6469.0,Rectangle,Black,Silicon,Yes,22.0,Yes,1.8,42.5
176,176,boat,2499.0,7990.0,68.72340426,4.0,8179.0,Rectangle,Green,Silicon,Yes,22.0,Yes,1.8,42.5
177,177,boat,3999.0,6990.0,42.78969957,4.2,628.0,Rectangle,Red,Silicon,Yes,22.0,Yes,1.8,42.5
178,178,boat,2799.0,5990.0,53.2721202,3.9,2406.0,Square,Green,Silicon,Yes,22.0,Yes,1.6,42.5
179,179,boat,1999.0,6990.0,71.40200286,3.9,12026.0,Rectangle,Blue,Silicon,Yes,22.0,Yes,1.5,42.5
180,180,boat,3999.0,7999.0,74.0,5.0,19590.0,Rectangle,Black,Silicon,Yes,22.0,Yes,1.7,42.5
181,181,boat,2299.0,6990.0,67.11015737,3.9,16676.0,Square,Black,Silicon,Yes,22.0,Yes,1.7,42.5
182,182,boat,2999.0,7990.0,62.46558198,3.8,11340.0,Square,Black,Silicon,Yes,22.0,Yes,1.3,42.5
183,183,honor,8999.0,14999.0,40.00266684,4.4,14613.0,Circle,Black,Fluoroelastomer,Yes,8.0,Yes,1.4,27.5
